type,id,name,URL,url_sravni,url_irec,url_otz,vk,old_vk,code,bank_id
insurance,0,Абсолют Страхование,https://www.banki.ru/insurance/companies/absolyut/,https://www.sravni.ru/strakhovaja-kompanija/absolute-insurance/otzyvy/,,https://otzovik.com/reviews/strahovaya_kompaniya_absolyut_strahovanie_russia_moscow/2/?ysclid=ladtnnxx8o432482731,absolutins,https://vk.com/absolutins?ysclid=lak2fbpdvn279221534,absolyut,10346.0
insurance,1,Авангард-Гарант,https://www.banki.ru/insurance/companies/avangardgarant/,https://www.sravni.ru/strakhovaja-kompanija/avangard-garant/otzyvy/,,https://otzovik.com/reviews/bank_avangard_russia_moscow/,,,avangardgarant,10333.0
insurance,2,АИГ страховая компания,https://www.banki.ru/insurance/companies/aigstrahovayakompaniya/,https://www.sravni.ru/strakhovaja-kompanija/aig/otzyvy/,,https://otzovik.com/reviews/strahovaya_kompaniya_aig_russia_moscow/,,,aigstrahovayakompaniya,10318.0
insurance,3,АК Барс-Мед,https://www.banki.ru/insurance/companies/akbarsmed/,https://www.sravni.ru/strakhovaja-kompanija/bars-med/otzyvy/,,https://otzovik.com/reviews/strahovaya_kompaniya_ak_bars-med_russia_kazan/,akbars_med,https://vk.com/akbars_med?ysclid=lak2lmxlxs589074888,akbarsmed,10451.0
insurance,4,Ак Барс Страхование,https://www.banki.ru/insurance/companies/akbarsstrahovanie/,https://www.sravni.ru/strakhovaja-kompanija/bars-strakhovanie/otzyvy/,,,akbarsstrah,https://vk.com/akbarsstrah?ysclid=lak2m0y54g845122832,akbarsstrahovanie,10443.0
insurance,5,АльфаСтрахование,https://www.banki.ru/insurance/companies/alfastrahovanie/,https://www.sravni.ru/strakhovaja-kompanija/alfastrahovanie/otzyvy/,https://irecommend.ru/content/alfastrakhovanie,https://otzovik.com/reviews/kompaniya_alfastrahovanie_russia/,alfastrahru,https://vk.com/alfastrahru?ysclid=lak2mbtzfo914719768,alfastrahovanie,10344.0
insurance,6,АльфаСтрахование-Жизнь,https://www.banki.ru/insurance/companies/alfastrahovaniezhizn/,https://www.sravni.ru/strakhovaja-kompanija/alfastrahovanie-jizn/otzyvy/,https://irecommend.ru/content/alfastrakhovanie-zhizn,https://otzovik.com/reviews/kompaniya_alfastrahovanie-zhizn_russia_zheleznogorsk/,asliferu,https://vk.com/asliferu?ysclid=lak2mlzpnf86688018,alfastrahovaniezhizn,10327.0
insurance,7,АльфаСтрахование-ОМС,https://www.banki.ru/insurance/companies/alfastrahovanieoms/,https://www.sravni.ru/strakhovaja-kompanija/alfastrakhovanie-oms/otzyvy/,,,line.alfastrahoms,https://vk.com/line.alfastrahoms?ysclid=lak2ndaqrq989385639,alfastrahovanieoms,10291.0
insurance,8,Альянс,https://www.banki.ru/insurance/companies/alyans/,https://www.sravni.ru/strakhovaja-kompanija/allianz/otzyvy/,,https://otzovik.com/reviews/strahovaya_kompaniya_allianz_russia_moscow/,,,alyans,10272.0
insurance,9,Альянс Жизнь,https://www.banki.ru/insurance/companies/alyanszhizn/,https://www.sravni.ru/strakhovaja-kompanija/alians-zhizn/otzyvy/,https://irecommend.ru/content/strakhovaya-kompaniya-alyans-zhizn,https://otzovik.com/reviews/strahovaya_kompaniya_alyans_zhizn_russia_moscow/,allianzolga,https://vk.com/allianzolga?ysclid=lak2ntgij6984027685,alyanszhizn,10290.0
insurance,10,АМТ Страхование,https://www.banki.ru/insurance/companies/amtstrahovanie/,https://www.sravni.ru/strakhovaja-kompanija/amt-strakhovanie/otzyvy/,,,amtins,https://vk.com/amtins?ysclid=lak2o7yujj130775027,amtstrahovanie,10328.0
